"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
146024086,"細野 豪志","消費者及び食品安全担当大臣
（食品安全担当大臣）","経済安全保障担当大臣"
146061003,"細野 豪志","原子力防災担当大臣","総務大臣"
146061004,"細野 豪志","原子力防災担当大臣","法務大臣"
146061005,"細野 豪志","原子力防災担当大臣","外務大臣"
146061007,"細野 豪志","原子力防災担当大臣","文部科学大臣"
146061008,"細野 豪志","原子力防災担当大臣","厚生労働大臣"
146061011,"細野 豪志","原子力防災担当大臣","国土交通大臣"
146061013,"細野 豪志","原子力防災担当大臣","防衛大臣（防衛庁長官）"
146061014,"細野 豪志","原子力防災担当大臣","国家公安委員会委員長"
146061015,"細野 豪志","原子力防災担当大臣","防災担当大臣"
146061016,"細野 豪志","原子力防災担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
146061017,"細野 豪志","原子力防災担当大臣","沖縄及び北方対策担当大臣"
146061019,"細野 豪志","原子力防災担当大臣","経済財政政策担当大臣"
146061020,"細野 豪志","原子力防災担当大臣","科学技術政策担当大臣"
146061021,"細野 豪志","原子力防災担当大臣","規制改革担当大臣"
146061022,"細野 豪志","原子力防災担当大臣","男女共同参画担当大臣"
146061028,"細野 豪志","原子力防災担当大臣","少子化対策担当大臣"
146061029,"細野 豪志","原子力防災担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
146061039,"細野 豪志","原子力防災担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
146061040,"細野 豪志","原子力防災担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
146061043,"細野 豪志","原子力防災担当大臣","海洋政策担当大臣"
146061044,"細野 豪志","原子力防災担当大臣","拉致問題担当大臣"
146061045,"細野 豪志","原子力防災担当大臣","再チャレンジ担当大臣"
146061048,"細野 豪志","原子力防災担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
146061062,"細野 豪志","原子力防災担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
146061066,"細野 豪志","原子力防災担当大臣","東京オリンピック・パラリンピック担当大臣"
146061071,"細野 豪志","原子力防災担当大臣","国土強靱化担当大臣"
146061072,"細野 豪志","原子力防災担当大臣","クールジャパン戦略担当大臣"
146061076,"細野 豪志","原子力防災担当大臣","知的財産戦略担当大臣"
146061079,"細野 豪志","原子力防災担当大臣","マイナンバー制度担当大臣"
146061082,"細野 豪志","原子力防災担当大臣","こども政策担当大臣"
146061083,"細野 豪志","原子力防災担当大臣","孤独・孤立対策担当大臣"
146061086,"細野 豪志","原子力防災担当大臣","経済安全保障担当大臣"
147015003,"平野 達男","防災担当大臣","総務大臣"
147015004,"平野 達男","防災担当大臣","法務大臣"
147015005,"平野 達男","防災担当大臣","外務大臣"
147015007,"平野 達男","防災担当大臣","文部科学大臣"
147015008,"平野 達男","防災担当大臣","厚生労働大臣"
147015011,"平野 達男","防災担当大臣","国土交通大臣"
147015012,"平野 達男","防災担当大臣","環境大臣"
147015013,"平野 達男","防災担当大臣","防衛大臣（防衛庁長官）"
147015014,"平野 達男","防災担当大臣","国家公安委員会委員長"
147015016,"平野 達男","防災担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
147015017,"平野 達男","防災担当大臣","沖縄及び北方対策担当大臣"
147015019,"平野 達男","防災担当大臣","経済財政政策担当大臣"
147015020,"平野 達男","防災担当大臣","科学技術政策担当大臣"
147015021,"平野 達男","防災担当大臣","規制改革担当大臣"
147015022,"平野 達男","防災担当大臣","男女共同参画担当大臣"
147015024,"平野 達男","防災担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
147015028,"平野 達男","防災担当大臣","少子化対策担当大臣"
147015029,"平野 達男","防災担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
147015039,"平野 達男","防災担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
147015040,"平野 達男","防災担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
147015043,"平野 達男","防災担当大臣","海洋政策担当大臣"
147015044,"平野 達男","防災担当大臣","拉致問題担当大臣"
147015045,"平野 達男","防災担当大臣","再チャレンジ担当大臣"
147015048,"平野 達男","防災担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
147015061,"平野 達男","防災担当大臣","原子力防災担当大臣"
147015062,"平野 達男","防災担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
147015066,"平野 達男","防災担当大臣","東京オリンピック・パラリンピック担当大臣"
147015071,"平野 達男","防災担当大臣","国土強靱化担当大臣"
147015072,"平野 達男","防災担当大臣","クールジャパン戦略担当大臣"
147015076,"平野 達男","防災担当大臣","知的財産戦略担当大臣"
147015079,"平野 達男","防災担当大臣","マイナンバー制度担当大臣"
147015082,"平野 達男","防災担当大臣","こども政策担当大臣"
147015083,"平野 達男","防災担当大臣","孤独・孤立対策担当大臣"
147015086,"平野 達男","防災担当大臣","経済安全保障担当大臣"
151007003,"中川 正春","文部科学大臣","総務大臣"
151007004,"中川 正春","文部科学大臣","法務大臣"
151007005,"中川 正春","文部科学大臣","外務大臣"
151007008,"中川 正春","文部科学大臣","厚生労働大臣"
151007011,"中川 正春","文部科学大臣","国土交通大臣"
151007012,"中川 正春","文部科学大臣","環境大臣"
151007013,"中川 正春","文部科学大臣","防衛大臣（防衛庁長官）"
151007014,"中川 正春","文部科学大臣","国家公安委員会委員長"
151007016,"中川 正春","文部科学大臣","行政改革担当大臣
（行政刷新担当大臣）"
151007017,"中川 正春","文部科学大臣","沖縄及び北方対策担当大臣"
151007019,"中川 正春","文部科学大臣","経済財政政策担当大臣"
151007020,"中川 正春","文部科学大臣","科学技術政策担当大臣"
151007021,"中川 正春","文部科学大臣","規制改革担当大臣"
151007024,"中川 正春","文部科学大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
151007029,"中川 正春","文部科学大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
151007040,"中川 正春","文部科学大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
151007043,"中川 正春","文部科学大臣","海洋政策担当大臣"
151007044,"中川 正春","文部科学大臣","拉致問題担当大臣"
151007045,"中川 正春","文部科学大臣","再チャレンジ担当大臣"
151007048,"中川 正春","文部科学大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
151007061,"中川 正春","文部科学大臣","原子力防災担当大臣"
151007062,"中川 正春","文部科学大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
151007066,"中川 正春","文部科学大臣","東京オリンピック・パラリンピック担当大臣"
151007071,"中川 正春","文部科学大臣","国土強靱化担当大臣"
151007072,"中川 正春","文部科学大臣","クールジャパン戦略担当大臣"
151007076,"中川 正春","文部科学大臣","知的財産戦略担当大臣"
151007079,"中川 正春","文部科学大臣","マイナンバー制度担当大臣"
151007082,"中川 正春","文部科学大臣","こども政策担当大臣"
151007083,"中川 正春","文部科学大臣","孤独・孤立対策担当大臣"
151007086,"中川 正春","文部科学大臣","経済安全保障担当大臣"
151015003,"中川 正春","防災担当大臣","総務大臣"
151015004,"中川 正春","防災担当大臣","法務大臣"
151015005,"中川 正春","防災担当大臣","外務大臣"
151015008,"中川 正春","防災担当大臣","厚生労働大臣"
151015011,"中川 正春","防災担当大臣","国土交通大臣"
151015012,"中川 正春","防災担当大臣","環境大臣"
151015013,"中川 正春","防災担当大臣","防衛大臣（防衛庁長官）"
151015014,"中川 正春","防災担当大臣","国家公安委員会委員長"
151015016,"中川 正春","防災担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
151015017,"中川 正春","防災担当大臣","沖縄及び北方対策担当大臣"
151015019,"中川 正春","防災担当大臣","経済財政政策担当大臣"
151015020,"中川 正春","防災担当大臣","科学技術政策担当大臣"
151015021,"中川 正春","防災担当大臣","規制改革担当大臣"
151015024,"中川 正春","防災担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
151015029,"中川 正春","防災担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
151015040,"中川 正春","防災担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
151015043,"中川 正春","防災担当大臣","海洋政策担当大臣"
151015044,"中川 正春","防災担当大臣","拉致問題担当大臣"
151015045,"中川 正春","防災担当大臣","再チャレンジ担当大臣"
151015048,"中川 正春","防災担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
151015061,"中川 正春","防災担当大臣","原子力防災担当大臣"
151015062,"中川 正春","防災担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
151015066,"中川 正春","防災担当大臣","東京オリンピック・パラリンピック担当大臣"
151015071,"中川 正春","防災担当大臣","国土強靱化担当大臣"
151015072,"中川 正春","防災担当大臣","クールジャパン戦略担当大臣"
151015076,"中川 正春","防災担当大臣","知的財産戦略担当大臣"
151015079,"中川 正春","防災担当大臣","マイナンバー制度担当大臣"
151015082,"中川 正春","防災担当大臣","こども政策担当大臣"
151015083,"中川 正春","防災担当大臣","孤独・孤立対策担当大臣"
151015086,"中川 正春","防災担当大臣","経済安全保障担当大臣"
151022003,"中川 正春","男女共同参画担当大臣","総務大臣"
151022004,"中川 正春","男女共同参画担当大臣","法務大臣"
